image_width,image_height,filter_size,filter_type,version,device_name,block_width,block_height,repeat_count,estimated_operations,cpu_time_ms,cpu_min_time_ms,cpu_max_time_ms,cpu_stddev_time_ms,gpu_kernel_time_ms,gpu_kernel_min_time_ms,gpu_kernel_max_time_ms,gpu_kernel_stddev_time_ms,gpu_total_time_ms,gpu_total_min_time_ms,gpu_total_max_time_ms,gpu_total_stddev_time_ms,gpu_allocation_time_ms,gpu_host_to_device_time_ms,gpu_device_to_host_time_ms,gpu_free_time_ms,kernel_speedup,total_speedup,cpu_gflops,gpu_kernel_gflops,max_abs_error,mean_abs_error,passed
512,512,3,gaussian,cuda_naive_global_memory,"NVIDIA GeForce RTX 4070 Laptop GPU",8,8,5,4718592,2.206300,2.179400,2.284500,0.039388,0.019238,0.015296,0.033792,0.007288,1.150438,1.146496,1.164992,0.007288,0.205400,0.428300,0.182000,0.315500,114.682095,1.917791,2.138690,245.269462,0.000000,0.000000,true
512,512,3,gaussian,cuda_shared_memory_tiled,"NVIDIA GeForce RTX 4070 Laptop GPU",8,8,5,4718592,2.206300,2.179400,2.284500,0.039388,0.023552,0.018432,0.039936,0.008218,0.895852,0.890732,0.912236,0.008218,0.177000,0.274500,0.139200,0.281600,93.677822,2.462795,2.138690,200.347831,0.000000,0.000000,true
512,512,3,gaussian,cuda_shared_constant_filter,"NVIDIA GeForce RTX 4070 Laptop GPU",8,8,5,4718592,2.206300,2.179400,2.284500,0.039388,0.028416,0.015360,0.056128,0.016796,1.090816,1.077760,1.118528,0.016796,0.113500,0.458800,0.150400,0.339700,77.642877,2.022614,2.138690,166.054054,0.000000,0.000000,true
512,512,3,gaussian,cuda_multi_output,"NVIDIA GeForce RTX 4070 Laptop GPU",8,8,5,4718592,2.206300,2.179400,2.284500,0.039388,0.021261,0.014208,0.047104,0.012931,0.887661,0.880608,0.913504,0.012931,0.122500,0.345100,0.132000,0.266800,103.773141,2.485521,2.138690,221.938591,0.000000,0.000000,true
512,512,3,gaussian,cuda_register_tiled,"NVIDIA GeForce RTX 4070 Laptop GPU",8,8,5,4718592,2.206300,2.179400,2.284500,0.039388,0.013926,0.013312,0.014336,0.000502,1.003326,1.002712,1.003736,0.000502,0.160700,0.314200,0.185300,0.329200,158.425723,2.198985,2.138690,338.823528,0.000000,0.000000,true
512,512,3,gaussian,cuda_separable,"NVIDIA GeForce RTX 4070 Laptop GPU",8,8,5,3145728,2.206300,2.179400,2.284500,0.039388,0.030080,0.019328,0.072704,0.021312,0.874580,0.863828,0.917204,0.021312,0.129500,0.340500,0.130900,0.243600,73.347740,2.522697,1.425793,104.578724,0.000000,0.000000,true
512,512,3,gaussian,cuda_naive_global_memory,"NVIDIA GeForce RTX 4070 Laptop GPU",16,16,5,4718592,2.206300,2.179400,2.284500,0.039388,0.020480,0.014336,0.045056,0.012288,1.017580,1.011436,1.042156,0.012288,0.140700,0.411000,0.134400,0.311000,107.729491,2.168183,2.138690,230.399997,0.000000,0.000000,true
512,512,3,gaussian,cuda_shared_memory_tiled,"NVIDIA GeForce RTX 4070 Laptop GPU",16,16,5,4718592,2.206300,2.179400,2.284500,0.039388,0.018618,0.018336,0.019456,0.000421,0.914418,0.914136,0.915256,0.000421,0.153400,0.331400,0.165400,0.245600,118.506143,2.412793,2.138690,253.447917,0.000000,0.000000,true
512,512,3,gaussian,cuda_shared_constant_filter,"NVIDIA GeForce RTX 4070 Laptop GPU",16,16,5,4718592,2.206300,2.179400,2.284500,0.039388,0.028870,0.016384,0.054272,0.014477,0.956270,0.943784,0.981672,0.014477,0.193000,0.333000,0.140100,0.261300,76.420831,2.307193,2.138690,163.440476,0.000000,0.000000,true
512,512,3,gaussian,cuda_multi_output,"NVIDIA GeForce RTX 4070 Laptop GPU",16,16,5,4718592,2.206300,2.179400,2.284500,0.039388,0.028672,0.012288,0.065536,0.020755,0.889072,0.872688,0.925936,0.020755,0.156500,0.324300,0.133200,0.246400,76.949636,2.481576,2.138690,164.571426,0.000000,0.000000,true
