image_width,image_height,filter_size,filter_type,version,device_name,repeat_count,estimated_operations,cpu_time_ms,cpu_min_time_ms,cpu_max_time_ms,cpu_stddev_time_ms,gpu_kernel_time_ms,gpu_kernel_min_time_ms,gpu_kernel_max_time_ms,gpu_kernel_stddev_time_ms,gpu_total_time_ms,gpu_total_min_time_ms,gpu_total_max_time_ms,gpu_total_stddev_time_ms,gpu_allocation_time_ms,gpu_host_to_device_time_ms,gpu_device_to_host_time_ms,gpu_free_time_ms,kernel_speedup,total_speedup,cpu_gflops,gpu_kernel_gflops,max_abs_error,mean_abs_error,passed
2048,2048,11,gaussian,cuda_naive_global_memory,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,1015021568,481.049320,475.521100,488.181600,4.629374,20.703181,20.676577,20.735552,0.022714,72.023881,71.997277,72.056252,0.022714,0.514800,27.758100,21.572600,1.475200,23.235527,6.679025,2.110016,49.027325,0.000000,0.000000,true
2048,2048,11,gaussian,cuda_shared_memory_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,1015021568,481.049320,475.521100,488.181600,4.629374,7.322938,7.262208,7.434624,0.067837,22.338538,22.277808,22.450224,0.067837,0.536900,8.554600,5.025600,0.898500,65.690757,21.534504,2.110016,138.608522,0.000000,0.000000,true
2048,2048,11,gaussian,cuda_shared_constant_filter,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,1015021568,481.049320,475.521100,488.181600,4.629374,4.981293,4.937728,5.028544,0.029628,20.681393,20.637828,20.728644,0.029628,0.286100,7.399800,7.425700,0.588500,96.571179,23.260006,2.110016,203.766694,0.000000,0.000000,true
2048,2048,11,gaussian,cuda_separable,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,184549376,481.049320,475.521100,488.181600,4.629374,1.542259,1.535872,1.551904,0.006189,18.010859,18.004472,18.020504,0.006189,1.632800,6.022100,8.047500,0.766200,311.912111,26.708849,0.383639,119.661712,0.000000,0.000000,true
2048,2048,11,sharpen,cuda_naive_global_memory,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,1015021568,481.121400,471.935900,492.711000,8.184064,18.611687,15.611712,20.710752,2.443219,70.242687,67.242712,72.341752,2.443219,0.535700,27.754300,21.497100,1.843900,25.850500,6.849416,2.109699,54.536786,0.000001,0.000000,true
2048,2048,11,sharpen,cuda_shared_memory_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,1015021568,481.121400,471.935900,492.711000,8.184064,15.525632,15.474304,15.574816,0.039983,63.504332,63.453004,63.553516,0.039983,0.312200,28.065400,17.961200,1.639900,30.988845,7.576198,2.109699,65.377150,0.000001,0.000000,true
2048,2048,11,sharpen,cuda_shared_constant_filter,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,1015021568,481.121400,471.935900,492.711000,8.184064,4.738138,4.704736,4.802656,0.034161,19.622938,19.589536,19.687456,0.034161,0.291700,7.740600,6.205700,0.646800,101.542302,24.518317,2.109699,214.223741,0.000001,0.000000,true
2048,2048,11,sobel,cuda_naive_global_memory,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,1015021568,494.166040,475.774900,533.464400,21.406029,20.719808,20.687807,20.805632,0.043436,72.644908,72.612907,72.730732,0.043436,1.662200,28.010300,20.868000,1.384600,23.849934,6.802487,2.054009,48.987982,0.000000,0.000000,true
2048,2048,11,sobel,cuda_shared_memory_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,1015021568,494.166040,475.774900,533.464400,21.406029,7.304077,7.269216,7.358496,0.031293,43.750177,43.715316,43.804596,0.031293,0.315000,28.013600,7.399100,0.718400,67.656195,11.295178,2.054009,138.966443,0.000000,0.000000,true
2048,2048,11,sobel,cuda_shared_constant_filter,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,1015021568,494.166040,475.774900,533.464400,21.406029,5.023789,5.001952,5.073696,0.026030,17.760389,17.738552,17.810296,0.026030,0.945700,6.478900,4.708400,0.603600,98.365209,27.824055,2.054009,202.043040,0.000000,0.000000,true
