image_width,image_height,filter_size,filter_type,version,device_name,block_width,block_height,repeat_count,estimated_operations,cpu_time_ms,cpu_min_time_ms,cpu_max_time_ms,cpu_stddev_time_ms,gpu_kernel_time_ms,gpu_kernel_min_time_ms,gpu_kernel_max_time_ms,gpu_kernel_stddev_time_ms,gpu_total_time_ms,gpu_total_min_time_ms,gpu_total_max_time_ms,gpu_total_stddev_time_ms,gpu_allocation_time_ms,gpu_host_to_device_time_ms,gpu_device_to_host_time_ms,gpu_free_time_ms,kernel_speedup,total_speedup,cpu_gflops,gpu_kernel_gflops,max_abs_error,mean_abs_error,passed
512,512,5,gaussian,cuda_shared_memory_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",32,8,5,13107200,7.331360,6.755900,8.124300,0.455297,0.109114,0.103744,0.128416,0.009655,3.073514,3.068144,3.092816,0.009655,0.950000,1.158000,0.529400,0.327000,67.190158,2.385335,1.787827,120.124348,0.000000,0.000000,true
512,512,5,gaussian,cuda_shared_constant_filter,"NVIDIA GeForce GTX 1650 with Max-Q Design",32,8,5,13107200,7.331360,6.755900,8.124300,0.455297,0.093370,0.088992,0.106496,0.006618,1.586570,1.582192,1.599696,0.006618,0.164800,0.547100,0.521200,0.260100,78.519776,4.620888,1.787827,140.379740,0.000000,0.000000,true
512,512,5,gaussian,cuda_separable,"NVIDIA GeForce GTX 1650 with Max-Q Design",32,8,5,5242880,7.331360,6.755900,8.124300,0.455297,0.072256,0.070240,0.076192,0.002040,2.525556,2.523540,2.529492,0.002040,1.049500,0.613800,0.466600,0.323400,101.463684,2.902870,0.715131,72.559787,0.000000,0.000000,true
512,512,5,gaussian,cuda_naive_global_memory,"NVIDIA GeForce GTX 1650 with Max-Q Design",32,16,5,13107200,7.331360,6.755900,8.124300,0.455297,0.103693,0.102400,0.106464,0.001511,1.795193,1.793900,1.797964,0.001511,0.200100,0.614000,0.566300,0.311100,70.702691,4.083884,1.787827,126.404148,0.000000,0.000000,true
512,512,5,gaussian,cuda_shared_memory_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",32,16,5,13107200,7.331360,6.755900,8.124300,0.455297,0.120346,0.114560,0.129280,0.005513,2.711346,2.705560,2.720280,0.005513,0.438600,0.584300,0.666000,0.902100,60.919219,2.703956,1.787827,108.912996,0.000000,0.000000,true
512,512,5,gaussian,cuda_shared_constant_filter,"NVIDIA GeForce GTX 1650 with Max-Q Design",32,16,5,13107200,7.331360,6.755900,8.124300,0.455297,0.094867,0.094208,0.096000,0.000812,1.652967,1.652308,1.654100,0.000812,0.246300,0.513900,0.525500,0.272400,77.280239,4.435273,1.787827,138.163663,0.000000,0.000000,true
512,512,5,gaussian,cuda_separable,"NVIDIA GeForce GTX 1650 with Max-Q Design",32,16,5,5242880,7.331360,6.755900,8.124300,0.455297,0.092256,0.079488,0.103552,0.008562,3.950856,3.938088,3.962152,0.008562,0.416400,1.166800,1.130400,1.145000,79.467568,1.855638,0.715131,56.829691,0.000000,0.000000,true
512,512,5,sharpen,cuda_naive_global_memory,"NVIDIA GeForce GTX 1650 with Max-Q Design",8,8,5,13107200,7.080540,6.811000,7.416900,0.214786,0.170592,0.169600,0.172032,0.000843,3.337992,3.337000,3.339432,0.000843,0.255300,0.825300,0.832400,1.254400,41.505698,2.121197,1.851158,76.833616,0.000001,0.000000,true
512,512,5,sharpen,cuda_shared_memory_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",8,8,5,13107200,7.080540,6.811000,7.416900,0.214786,0.127309,0.126848,0.128288,0.000538,2.009809,2.009348,2.010788,0.000538,0.366600,0.634800,0.542400,0.338700,55.617050,3.522992,1.851158,102.955962,0.000001,0.000000,true
512,512,5,sharpen,cuda_shared_constant_filter,"NVIDIA GeForce GTX 1650 with Max-Q Design",8,8,5,13107200,7.080540,6.811000,7.416900,0.214786,0.099603,0.099168,0.100352,0.000405,1.678703,1.678268,1.679452,0.000405,0.176000,0.526500,0.480500,0.396100,71.087476,4.217863,1.851158,131.594168,0.000001,0.000000,true
512,512,5,sharpen,cuda_naive_global_memory,"NVIDIA GeForce GTX 1650 with Max-Q Design",16,16,5,13107200,7.080540,6.811000,7.416900,0.214786,0.107923,0.106528,0.109856,0.001080,3.151323,3.149928,3.153256,0.001080,0.397500,0.966400,0.876700,0.802800,65.607209,2.246847,1.851158,121.449326,0.000001,0.000000,true
512,512,5,sharpen,cuda_shared_memory_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",16,16,5,13107200,7.080540,6.811000,7.416900,0.214786,0.119635,0.118784,0.120544,0.000697,1.687835,1.686984,1.688744,0.000697,0.180100,0.573700,0.533100,0.281300,59.184420,4.195042,1.851158,109.559728,0.000001,0.000000,true
512,512,5,sharpen,cuda_shared_constant_filter,"NVIDIA GeForce GTX 1650 with Max-Q Design",16,16,5,13107200,7.080540,6.811000,7.416900,0.214786,0.099315,0.098208,0.100896,0.001076,1.731615,1.730508,1.733196,0.001076,0.151800,0.522400,0.552500,0.405600,71.293618,4.088980,1.851158,131.975769,0.000001,0.000000,true
512,512,5,sharpen,cuda_naive_global_memory,"NVIDIA GeForce GTX 1650 with Max-Q Design",32,8,5,13107200,7.080540,6.811000,7.416900,0.214786,0.097965,0.096992,0.098720,0.000673,3.475365,3.474392,3.476120,0.000673,0.438000,0.883600,1.108800,0.947000,72.276368,2.037352,1.851158,133.794995,0.000001,0.000000,true
512,512,5,sharpen,cuda_shared_memory_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",32,8,5,13107200,7.080540,6.811000,7.416900,0.214786,0.104294,0.104064,0.104448,0.000176,1.732994,1.732764,1.733148,0.000176,0.224200,0.606700,0.538300,0.259500,67.889935,4.085726,1.851158,125.675012,0.000001,0.000000,true
512,512,5,sharpen,cuda_shared_constant_filter,"NVIDIA GeForce GTX 1650 with Max-Q Design",32,8,5,13107200,7.080540,6.811000,7.416900,0.214786,0.101696,0.092800,0.114976,0.010727,1.924796,1.915900,1.938076,0.010727,0.208900,0.498000,0.650800,0.465400,69.624568,3.678592,1.851158,128.886093,0.000001,0.000000,true
512,512,5,sharpen,cuda_naive_global_memory,"NVIDIA GeForce GTX 1650 with Max-Q Design",32,16,5,13107200,7.080540,6.811000,7.416900,0.214786,0.107674,0.103232,0.111904,0.003306,3.109374,3.104932,3.113604,0.003306,0.466700,1.306400,0.720100,0.508500,65.759295,2.277160,1.851158,121.730862,0.000001,0.000000,true
512,512,5,sharpen,cuda_shared_memory_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",32,16,5,13107200,7.080540,6.811000,7.416900,0.214786,0.114477,0.113632,0.116576,0.001090,1.608877,1.608032,1.610976,0.001090,0.169200,0.523400,0.501900,0.299900,61.851310,4.400921,1.851158,114.496562,0.000001,0.000000,true
512,512,5,sharpen,cuda_shared_constant_filter,"NVIDIA GeForce GTX 1650 with Max-Q Design",32,16,5,13107200,7.080540,6.811000,7.416900,0.214786,0.117549,0.093792,0.128896,0.012203,2.413949,2.390192,2.425296,0.012203,0.150400,0.724600,0.769000,0.652400,60.234898,2.933177,1.851158,111.504329,0.000001,0.000000,true
512,512,5,sobel,cuda_naive_global_memory,"NVIDIA GeForce GTX 1650 with Max-Q Design",8,8,5,13107200,7.224460,7.028300,7.441600,0.159215,0.170906,0.169984,0.172032,0.000723,2.041306,2.040384,2.042432,0.000723,0.296300,0.640500,0.532700,0.400900,42.271640,3.539137,1.814281,76.692631,0.000000,0.000000,true
512,512,5,sobel,cuda_shared_memory_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",8,8,5,13107200,7.224460,7.028300,7.441600,0.159215,0.129338,0.126816,0.132064,0.001693,4.131138,4.128616,4.133864,0.001693,0.948600,1.780100,0.605600,0.667500,55.857383,1.748782,1.814281,101.340984,0.000000,0.000000,true
512,512,5,sobel,cuda_shared_constant_filter,"NVIDIA GeForce GTX 1650 with Max-Q Design",8,8,5,13107200,7.224460,7.028300,7.441600,0.159215,0.100294,0.099840,0.100896,0.000343,1.879694,1.879240,1.880296,0.000343,0.248000,0.543400,0.563800,0.424200,72.032536,3.843423,1.814281,130.687256,0.000000,0.000000,true
512,512,5,sobel,cuda_naive_global_memory,"NVIDIA GeForce GTX 1650 with Max-Q Design",16,16,5,13107200,7.224460,7.028300,7.441600,0.159215,0.110298,0.108416,0.112640,0.001430,2.611998,2.610116,2.614340,0.001430,0.209200,0.611100,0.789500,0.891900,65.499703,2.765875,1.814281,118.834862,0.000000,0.000000,true
512,512,5,sobel,cuda_shared_memory_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",16,16,5,13107200,7.224460,7.028300,7.441600,0.159215,0.119994,0.117568,0.123296,0.001921,3.366394,3.363968,3.369696,0.001921,0.755600,1.445500,0.540500,0.504800,60.207044,2.146053,1.814281,109.232492,0.000000,0.000000,true
512,512,5,sobel,cuda_shared_constant_filter,"NVIDIA GeForce GTX 1650 with Max-Q Design",16,16,5,13107200,7.224460,7.028300,7.441600,0.159215,0.099034,0.098304,0.100352,0.000792,1.916634,1.915904,1.917952,0.000792,0.169200,0.654800,0.605700,0.387900,72.949585,3.769349,1.814281,132.351040,0.000000,0.000000,true
512,512,5,sobel,cuda_naive_global_memory,"NVIDIA GeForce GTX 1650 with Max-Q Design",32,8,5,13107200,7.224460,7.028300,7.441600,0.159215,0.098029,0.095168,0.100256,0.001630,3.493629,3.490768,3.495856,0.001630,0.710100,0.818300,1.150100,0.717100,73.697319,2.067896,1.814281,133.707641,0.000000,0.000000,true
512,512,5,sobel,cuda_shared_memory_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",32,8,5,13107200,7.224460,7.028300,7.441600,0.159215,0.107949,0.106496,0.109632,0.001293,1.794049,1.792596,1.795732,0.001293,0.238000,0.538800,0.540900,0.368400,66.924875,4.026903,1.814281,121.420524,0.000000,0.000000,true
